Template Name,Template Display Name,Point Name,Data Type,Unit,Unit Symbol,Access Type,point_shorten
ACBPanel,ACB Panel,Communication Status,String,unitless,-,READONLY,ABCD
ACBPanel,ACB Panel,On Off Status,String,unitless,-,READONLY,ABCD
ACBPanel,ACB Panel,Trip Status,String,unitless,-,READONLY,ABCD
ATSPanel,ATS Panel,Communication Status,String,unitless,-,READONLY,ABCD
ATSPanel,ATS Panel,Generator Status,String,unitless,-,READONLY,ABCD
ATSPanel,ATS Panel,Mains Status,String,unitless,-,READONLY,ABCD
ATSPanel,ATS Panel,Status,String,unitless,-,READONLY,ABCD
ACS,Access Control System,Common Fault,String,unitless,-,READONLY,ABCD
ACS,Access Control System,Communication Status,String,unitless,-,READONLY,ABCD
ACS,Access Control System,Power Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Bag Filter Differential Pressure,Double,pascal,Pa,READONLY,ABCD
AHU,Air Handling Unit,Bag Filter Setpoint,Double,pascal,Pa,WRITABLE,ABCD
AHU,Air Handling Unit,Bag Filter Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,CHW Return Temperature,Double,celsius,degC,READONLY,ABCD
AHU,Air Handling Unit,CHW Supply Temperature,Double,celsius,degC,READONLY,ABCD
AHU,Air Handling Unit,Communication Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Fire Alarm Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Fire Damper Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Fresh Air Damper Command,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Fresh Air Damper Fail Alarm,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Fresh Air Damper Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Fresh Air Filter Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Fresh Air Temperature,Double,celsius,degC,READONLY,ABCD
AHU,Air Handling Unit,Heater Demand,Float,percent,%,READONLY,ABCD
AHU,Air Handling Unit,Heater Override Switch,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Heater Position,Float,percent,%,READONLY,ABCD
AHU,Air Handling Unit,Heater Stage 1 Command,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Heater Stage 2 Command,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Heater Stage 3 Command,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Heater Trip Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Modulating Valve Command,Float,percent,%,WRITABLE,ABCD
AHU,Air Handling Unit,Modulating Valve Feedback,Float,percent,%,READONLY,ABCD
AHU,Air Handling Unit,Off Coil Temperature,Double,celsius,degC,READONLY,ABCD
AHU,Air Handling Unit,Off Coil Temperature Setpoint,Double,celsius,degC,WRITABLE,ABCD
AHU,Air Handling Unit,Off Heater Temperature,Double,celsius,degC,READONLY,ABCD
AHU,Air Handling Unit,On Coil Humidity,Float,percent,%,READONLY,ABCD
AHU,Air Handling Unit,On Coil Temperature,Double,celsius,degC,READONLY,ABCD
AHU,Air Handling Unit,Outside Air Humidity,Float,percent,%,READONLY,ABCD
AHU,Air Handling Unit,Outside Air Temperature,Double,celsius,degC,READONLY,ABCD
AHU,Air Handling Unit,Panel Power Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Plant Enable,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Plant Reset,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Power Fail Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Pre Filter Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Return Air CO2,Double,parts per million,ppm,READONLY,ABCD
AHU,Air Handling Unit,Return Air Damper Command,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Return Air Damper Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Return Air High Temperature Setpoint,Double,celsius,degC,WRITABLE,ABCD
AHU,Air Handling Unit,Return Air Humidity,Float,percent,%,READONLY,ABCD
AHU,Air Handling Unit,Return Air Low Temperature Setpoint,Double,celsius,degC,WRITABLE,ABCD
AHU,Air Handling Unit,Return Air Temperature,Double,celsius,degC,READONLY,ABCD
AHU,Air Handling Unit,Return Air Temperature Setpoint,Double,celsius,degC,WRITABLE,ABCD
AHU,Air Handling Unit,Smoke Detector Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Air Fan Maintenance Alarm,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Air Flow Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Air Humidity,Float,percent,%,READONLY,ABCD
AHU,Air Handling Unit,Supply Air Pressure,Double,pascal,Pa,READONLY,ABCD
AHU,Air Handling Unit,Supply Air Pressure Setpoint,Double,pascal,Pa,WRITABLE,ABCD
AHU,Air Handling Unit,Supply Air Temperature,Double,celsius,degC,READONLY,ABCD
AHU,Air Handling Unit,Supply Air Temperature 1 Setpoint,Double,celsius,degC,WRITABLE,ABCD
AHU,Air Handling Unit,Supply Air Temperature 2 Setpoint,Double,celsius,degC,WRITABLE,ABCD
AHU,Air Handling Unit,Supply Air Temperature 3 Setpoint,Double,celsius,degC,WRITABLE,ABCD
AHU,Air Handling Unit,Supply Air Temperature Setpoint,Double,celsius,degC,WRITABLE,ABCD
AHU,Air Handling Unit,Supply Fan Air Flow Fail Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan Bypass Mode,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan Bypass Run Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan Bypass Trip Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan Command,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Supply Fan Fail Alarm,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan HOA Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan Run Hours,Double,hour,hr,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan Run Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan Trip Status,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan VFD Enable Disable Command,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Supply Fan VFD Mode,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Supply Fan VFD Speed Command,Float,percent,%,WRITABLE,ABCD
AHU,Air Handling Unit,Supply Fan VFD Speed Feedback,Float,percent,%,READONLY,ABCD
AHU,Air Handling Unit,System Fail Alarm,String,unitless,-,READONLY,ABCD
AHU,Air Handling Unit,Time Schedule,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Valve Command,String,unitless,-,WRITABLE,ABCD
AHU,Air Handling Unit,Valve Override Switch,String,unitless,-,WRITABLE,ABCD
